Hour,Machine_ID,Production,Power_kW,Tariff_Rs,Energy_kWh,Cost_Rs,Health_Score,Severity,Availability,Operational_Status,Effective_Capacity,Batch_ID,Batch_Start,Batch_Active,Batch_Duration
13,COMPRESSOR_01,1100.0,42.4,7.5,42.4,318.0,100,NORMAL,1.0,RUNNING_OPTIMAL,1100.0,,0,0,0
14,COMPRESSOR_01,1100.0,42.4,7.5,42.4,318.0,100,NORMAL,1.0,RUNNING_OPTIMAL,1100.0,,0,0,0
15,COMPRESSOR_01,1100.0,42.4,7.5,42.4,318.0,100,NORMAL,1.0,RUNNING_OPTIMAL,1100.0,,0,0,0
16,COMPRESSOR_01,624.62,30.99,7.5,30.99,232.43,100,NORMAL,1.0,RUNNING_OPTIMAL,1100.0,,0,0,0
17,COMPRESSOR_01,1100.0,42.4,7.5,42.4,318.0,100,NORMAL,1.0,RUNNING_OPTIMAL,1100.0,,0,0,0
18,COMPRESSOR_01,350.0,24.4,10.0,24.4,244.0,100,NORMAL,1.0,RUNNING_OPTIMAL,1100.0,,0,0,0
19,COMPRESSOR_01,350.0,24.4,10.0,24.4,244.0,100,NORMAL,1.0,RUNNING_OPTIMAL,1100.0,,0,0,0
20,COMPRESSOR_01,350.0,24.4,10.0,24.4,244.0,100,NORMAL,1.0,RUNNING_OPTIMAL,1100.0,,0,0,0
21,COMPRESSOR_01,350.0,24.4,10.0,24.4,244.0,100,NORMAL,1.0,RUNNING_OPTIMAL,1100.0,,0,0,0
22,COMPRESSOR_01,1100.0,42.4,5.5,42.4,233.2,100,NORMAL,1.0,RUNNING_OPTIMAL,1100.0,,0,0,0
23,COMPRESSOR_01,1100.0,42.4,5.5,42.4,233.2,100,NORMAL,1.0,RUNNING_OPTIMAL,1100.0,,0,0,0
0,PUMP_01,152.66,20.53,5.5,20.53,112.91,100,NORMAL,1.0,RUNNING_OPTIMAL,180.0,OPT_BATCH_01,1,1,3
1,PUMP_01,180.0,23.4,5.5,23.4,128.7,100,NORMAL,1.0,RUNNING_OPTIMAL,180.0,OPT_BATCH_01,0,1,3
2,PUMP_01,180.0,23.4,5.5,23.4,128.7,100,NORMAL,1.0,RUNNING_OPTIMAL,180.0,OPT_BATCH_01,0,1,3
3,PUMP_01,180.0,23.4,5.5,23.4,128.7,100,NORMAL,1.0,RUNNING_OPTIMAL,180.0,OPT_BATCH_02,1,1,3
4,PUMP_01,180.0,23.4,5.5,23.4,128.7,100,NORMAL,1.0,RUNNING_OPTIMAL,180.0,OPT_BATCH_02,0,1,3
5,PUMP_01,180.0,23.4,5.5,23.4,128.7,100,NORMAL,1.0,RUNNING_OPTIMAL,180.0,OPT_BATCH_02,0,1,3
6,PUMP_01,80.0,12.9,7.5,12.9,96.75,100,NORMAL,1.0,RUNNING_OPTIMAL,180.0,OPT_BATCH_03,1,1,3
7,PUMP_01,144.87,19.71,7.5,19.71,147.83,100,NORMAL,1.0,RUNNING_OPTIMAL,180.0,OPT_BATCH_03,0,1,3
8,PUMP_01,180.0,23.4,7.5,23.4,175.5,100,NORMAL,1.0,RUNNING_OPTIMAL,180.0,OPT_BATCH_03,0,1,3
9,PUMP_01,0.0,0.0,7.5,0.0,0.0,100,NORMAL,1.0,RUNNING_OPTIMAL,180.0,,0,0,0
10,PUMP_01,152.66,20.53,7.5,20.53,153.97,100,NORMAL,1.0,RUNNING_OPTIMAL,180.0,OPT_BATCH_04,1,1,3
11,PUMP_01,180.0,23.4,7.5,23.4,175.5,100,NORMAL,1.0,RUNNING_OPTIMAL,180.0,OPT_BATCH_04,0,1,3
12,PUMP_01,169.81,22.33,7.5,22.33,167.48,100,NORMAL,1.0,RUNNING_OPTIMAL,180.0,OPT_BATCH_04,0,1,3
13,PUMP_01,0.0,0.0,7.5,0.0,0.0,100,NORMAL,1.0,RUNNING_OPTIMAL,180.0,,0,0,0
14,PUMP_01,0.0,0.0,7.5,0.0,0.0,100,NORMAL,1.0,RUNNING_OPTIMAL,180.0,,0,0,0
15,PUMP_01,180.0,23.4,7.5,23.4,175.5,100,NORMAL,1.0,RUNNING_OPTIMAL,180.0,OPT_BATCH_05,1,1,3
16,PUMP_01,180.0,23.4,7.5,23.4,175.5,100,NORMAL,1.0,RUNNING_OPTIMAL,180.0,OPT_BATCH_05,0,1,3
17,PUMP_01,180.0,23.4,7.5,23.4,175.5,100,NORMAL,1.0,RUNNING_OPTIMAL,180.0,OPT_BATCH_05,0,1,3
18,PUMP_01,0.0,0.0,10.0,0.0,0.0,100,NORMAL,1.0,RUNNING_OPTIMAL,180.0,,0,0,0
19,PUMP_01,0.0,0.0,10.0,0.0,0.0,100,NORMAL,1.0,RUNNING_OPTIMAL,180.0,,0,0,0
20,PUMP_01,0.0,0.0,10.0,0.0,0.0,100,NORMAL,1.0,RUNNING_OPTIMAL,180.0,,0,0,0
21,PUMP_01,0.0,0.0,10.0,0.0,0.0,100,NORMAL,1.0,RUNNING_OPTIMAL,180.0,,0,0,0
22,PUMP_01,0.0,0.0,5.5,0.0,0.0,100,NORMAL,1.0,RUNNING_OPTIMAL,180.0,,0,0,0
23,PUMP_01,0.0,0.0,5.5,0.0,0.0,100,NORMAL,1.0,RUNNING_OPTIMAL,180.0,,0,0,0
0,HVAC_01,5800.0,49.8,5.5,49.8,273.9,100,NORMAL,1.0,RUNNING_OPTIMAL,5800.0,,0,0,0
1,HVAC_01,5800.0,49.8,5.5,49.8,273.9,100,NORMAL,1.0,RUNNING_OPTIMAL,5800.0,,0,0,0
2,HVAC_01,5220.0,46.32,5.5,46.32,254.76,100,NORMAL,1.0,RUNNING_OPTIMAL,5800.0,,0,0,0
3,HVAC_01,3864.46,38.19,5.5,38.19,210.03,100,NORMAL,1.0,RUNNING_OPTIMAL,5800.0,,0,0,0
4,HVAC_01,3864.46,38.19,5.5,38.19,210.03,100,NORMAL,1.0,RUNNING_OPTIMAL,5800.0,,0,0,0
5,HVAC_01,3864.46,38.19,5.5,38.19,210.03,100,NORMAL,1.0,RUNNING_OPTIMAL,5800.0,,0,0,0
6,HVAC_01,4682.89,43.1,7.5,43.1,323.23,100,NORMAL,1.0,RUNNING_OPTIMAL,5800.0,,0,0,0
7,HVAC_01,4151.98,39.91,7.5,39.91,299.34,100,NORMAL,1.0,RUNNING_OPTIMAL,5800.0,,0,0,0
8,HVAC_01,3864.46,38.19,7.5,38.19,286.4,100,NORMAL,1.0,RUNNING_OPTIMAL,5800.0,,0,0,0
9,HVAC_01,5800.0,49.8,7.5,49.8,373.5,100,NORMAL,1.0,RUNNING_OPTIMAL,5800.0,,0,0,0
10,HVAC_01,5800.0,49.8,7.5,49.8,373.5,100,NORMAL,1.0,RUNNING_OPTIMAL,5800.0,,0,0,0
11,HVAC_01,3864.46,38.19,7.5,38.19,286.4,100,NORMAL,1.0,RUNNING_OPTIMAL,5800.0,,0,0,0
12,HVAC_01,5800.0,49.8,7.5,49.8,373.5,100,NORMAL,1.0,RUNNING_OPTIMAL,5800.0,,0,0,0
13,HVAC_01,5800.0,49.8,7.5,49.8,373.5,100,NORMAL,1.0,RUNNING_OPTIMAL,5800.0,,0,0,0
14,HVAC_01,5800.0,49.8,7.5,49.8,373.5,100,NORMAL,1.0,RUNNING_OPTIMAL,5800.0,,0,0,0
15,HVAC_01,3864.46,38.19,7.5,38.19,286.4,100,NORMAL,1.0,RUNNING_OPTIMAL,5800.0,,0,0,0
16,HVAC_01,5800.0,49.8,7.5,49.8,373.5,100,NORMAL,1.0,RUNNING_OPTIMAL,5800.0,,0,0,0
17,HVAC_01,3864.46,38.19,7.5,38.19,286.4,100,NORMAL,1.0,RUNNING_OPTIMAL,5800.0,,0,0,0
18,HVAC_01,2723.48,31.34,10.0,31.34,313.41,100,NORMAL,1.0,RUNNING_OPTIMAL,5800.0,,0,0,0
19,HVAC_01,2723.48,31.34,10.0,31.34,313.41,100,NORMAL,1.0,RUNNING_OPTIMAL,5800.0,,0,0,0
20,HVAC_01,2723.48,31.34,10.0,31.34,313.41,100,NORMAL,1.0,RUNNING_OPTIMAL,5800.0,,0,0,0
21,HVAC_01,2723.48,31.34,10.0,31.34,313.41,100,NORMAL,1.0,RUNNING_OPTIMAL,5800.0,,0,0,0
22,HVAC_01,5800.0,49.8,5.5,49.8,273.9,100,NORMAL,1.0,RUNNING_OPTIMAL,5800.0,,0,0,0
23,HVAC_01,5800.0,49.8,5.5,49.8,273.9,100,NORMAL,1.0,RUNNING_OPTIMAL,5800.0,,0,0,0
