Timestamp,Machine_ID,Machine_Name,Health_Score,Risk_Level,Severity,Observed_Data,Model_Inference,Engineering_Hypothesis,Recommended_Action
2026-01-06 00:45:00,COMPRESSOR_01,Screw Air Compressor,45,HIGH,CRITICAL,"Power: 29.5 kW (Baseline: 38.0 kW, -22%); Temp: 70.9°C (Baseline: 75.0°C, -4.1°C); Vib: 2.50 mm/s (Baseline: 2.20 mm/s, ISO: ZONE_B_SATISFACTORY); Speed: 2940 RPM; Prod: 0.0 units; Voltage: 413.8 V",Isolation Forest Anomaly Score: 87.4/100 | Assigned Severity: CRITICAL | Status: IDLE_UNLOADED,"Compressor unloader valve failed to seat, or machine left idling during non-productive period, wasting electrical energy with zero pneumatic delivery.",Verify unloader valve solenoid and differential pressure switch. Activate edge gateway auto-standby command during idle meal breaks.
2026-01-06 01:00:00,COMPRESSOR_01,Screw Air Compressor,65,HIGH,HIGH,"Power: 29.1 kW (Baseline: 38.0 kW, -23%); Temp: 70.4°C (Baseline: 75.0°C, -4.6°C); Vib: 2.40 mm/s (Baseline: 2.20 mm/s, ISO: ZONE_B_SATISFACTORY); Speed: 2946 RPM; Prod: 0.0 units; Voltage: 416.6 V",Isolation Forest Anomaly Score: 68.1/100 | Assigned Severity: HIGH | Status: IDLE_UNLOADED,"Compressor unloader valve failed to seat, or machine left idling during non-productive period, wasting electrical energy with zero pneumatic delivery.",Verify unloader valve solenoid and differential pressure switch. Activate edge gateway auto-standby command during idle meal breaks.
2026-01-06 01:15:00,COMPRESSOR_01,Screw Air Compressor,65,HIGH,HIGH,"Power: 28.2 kW (Baseline: 38.0 kW, -26%); Temp: 70.2°C (Baseline: 75.0°C, -4.8°C); Vib: 2.33 mm/s (Baseline: 2.20 mm/s, ISO: ZONE_B_SATISFACTORY); Speed: 2956 RPM; Prod: 0.0 units; Voltage: 416.5 V",Isolation Forest Anomaly Score: 70.3/100 | Assigned Severity: HIGH | Status: IDLE_UNLOADED,"Compressor unloader valve failed to seat, or machine left idling during non-productive period, wasting electrical energy with zero pneumatic delivery.",Verify unloader valve solenoid and differential pressure switch. Activate edge gateway auto-standby command during idle meal breaks.
2026-01-06 01:30:00,COMPRESSOR_01,Screw Air Compressor,65,HIGH,HIGH,"Power: 28.8 kW (Baseline: 38.0 kW, -24%); Temp: 70.7°C (Baseline: 75.0°C, -4.3°C); Vib: 2.27 mm/s (Baseline: 2.20 mm/s, ISO: ZONE_A_GOOD); Speed: 2947 RPM; Prod: 0.0 units; Voltage: 417.5 V",Isolation Forest Anomaly Score: 75.1/100 | Assigned Severity: HIGH | Status: IDLE_UNLOADED,"Compressor unloader valve failed to seat, or machine left idling during non-productive period, wasting electrical energy with zero pneumatic delivery.",Verify unloader valve solenoid and differential pressure switch. Activate edge gateway auto-standby command during idle meal breaks.
2026-01-06 01:45:00,COMPRESSOR_01,Screw Air Compressor,55,HIGH,HIGH,"Power: 27.2 kW (Baseline: 38.0 kW, -28%); Temp: 71.2°C (Baseline: 75.0°C, -3.8°C); Vib: 2.33 mm/s (Baseline: 2.20 mm/s, ISO: ZONE_B_SATISFACTORY); Speed: 2940 RPM; Prod: 0.0 units; Voltage: 421.3 V",Isolation Forest Anomaly Score: 81.3/100 | Assigned Severity: HIGH | Status: IDLE_UNLOADED,"Compressor unloader valve failed to seat, or machine left idling during non-productive period, wasting electrical energy with zero pneumatic delivery.",Verify unloader valve solenoid and differential pressure switch. Activate edge gateway auto-standby command during idle meal breaks.
2026-01-06 02:00:00,COMPRESSOR_01,Screw Air Compressor,65,HIGH,HIGH,"Power: 28.3 kW (Baseline: 38.0 kW, -26%); Temp: 71.0°C (Baseline: 75.0°C, -4.0°C); Vib: 2.40 mm/s (Baseline: 2.20 mm/s, ISO: ZONE_B_SATISFACTORY); Speed: 2947 RPM; Prod: 0.0 units; Voltage: 422.6 V",Isolation Forest Anomaly Score: 67.7/100 | Assigned Severity: HIGH | Status: IDLE_UNLOADED,"Compressor unloader valve failed to seat, or machine left idling during non-productive period, wasting electrical energy with zero pneumatic delivery.",Verify unloader valve solenoid and differential pressure switch. Activate edge gateway auto-standby command during idle meal breaks.
2026-01-06 02:15:00,COMPRESSOR_01,Screw Air Compressor,65,HIGH,HIGH,"Power: 27.6 kW (Baseline: 38.0 kW, -27%); Temp: 71.5°C (Baseline: 75.0°C, -3.5°C); Vib: 2.30 mm/s (Baseline: 2.20 mm/s, ISO: ZONE_B_SATISFACTORY); Speed: 2948 RPM; Prod: 0.0 units; Voltage: 418.4 V",Isolation Forest Anomaly Score: 70.9/100 | Assigned Severity: HIGH | Status: IDLE_UNLOADED,"Compressor unloader valve failed to seat, or machine left idling during non-productive period, wasting electrical energy with zero pneumatic delivery.",Verify unloader valve solenoid and differential pressure switch. Activate edge gateway auto-standby command during idle meal breaks.
2026-01-06 02:30:00,COMPRESSOR_01,Screw Air Compressor,65,HIGH,HIGH,"Power: 28.8 kW (Baseline: 38.0 kW, -24%); Temp: 70.6°C (Baseline: 75.0°C, -4.4°C); Vib: 2.28 mm/s (Baseline: 2.20 mm/s, ISO: ZONE_A_GOOD); Speed: 2949 RPM; Prod: 0.0 units; Voltage: 420.8 V",Isolation Forest Anomaly Score: 75.4/100 | Assigned Severity: HIGH | Status: IDLE_UNLOADED,"Compressor unloader valve failed to seat, or machine left idling during non-productive period, wasting electrical energy with zero pneumatic delivery.",Verify unloader valve solenoid and differential pressure switch. Activate edge gateway auto-standby command during idle meal breaks.
2026-01-06 02:45:00,COMPRESSOR_01,Screw Air Compressor,65,HIGH,HIGH,"Power: 29.4 kW (Baseline: 38.0 kW, -23%); Temp: 71.0°C (Baseline: 75.0°C, -4.0°C); Vib: 2.35 mm/s (Baseline: 2.20 mm/s, ISO: ZONE_B_SATISFACTORY); Speed: 2949 RPM; Prod: 0.0 units; Voltage: 418.5 V",Isolation Forest Anomaly Score: 66.5/100 | Assigned Severity: HIGH | Status: IDLE_UNLOADED,"Compressor unloader valve failed to seat, or machine left idling during non-productive period, wasting electrical energy with zero pneumatic delivery.",Verify unloader valve solenoid and differential pressure switch. Activate edge gateway auto-standby command during idle meal breaks.
2026-01-06 03:00:00,COMPRESSOR_01,Screw Air Compressor,64,HIGH,HIGH,"Power: 27.5 kW (Baseline: 38.0 kW, -28%); Temp: 71.3°C (Baseline: 75.0°C, -3.7°C); Vib: 2.44 mm/s (Baseline: 2.20 mm/s, ISO: ZONE_B_SATISFACTORY); Speed: 2950 RPM; Prod: 0.0 units; Voltage: 421.0 V",Isolation Forest Anomaly Score: 65.7/100 | Assigned Severity: HIGH | Status: IDLE_UNLOADED,"Compressor unloader valve failed to seat, or machine left idling during non-productive period, wasting electrical energy with zero pneumatic delivery.",Verify unloader valve solenoid and differential pressure switch. Activate edge gateway auto-standby command during idle meal breaks.
2026-01-06 03:15:00,COMPRESSOR_01,Screw Air Compressor,64,HIGH,HIGH,"Power: 29.2 kW (Baseline: 38.0 kW, -23%); Temp: 70.6°C (Baseline: 75.0°C, -4.4°C); Vib: 2.45 mm/s (Baseline: 2.20 mm/s, ISO: ZONE_B_SATISFACTORY); Speed: 2954 RPM; Prod: 0.0 units; Voltage: 421.0 V",Isolation Forest Anomaly Score: 70.3/100 | Assigned Severity: HIGH | Status: IDLE_UNLOADED,"Compressor unloader valve failed to seat, or machine left idling during non-productive period, wasting electrical energy with zero pneumatic delivery.",Verify unloader valve solenoid and differential pressure switch. Activate edge gateway auto-standby command during idle meal breaks.
2026-01-06 03:30:00,COMPRESSOR_01,Screw Air Compressor,65,HIGH,HIGH,"Power: 28.7 kW (Baseline: 38.0 kW, -24%); Temp: 71.6°C (Baseline: 75.0°C, -3.4°C); Vib: 2.41 mm/s (Baseline: 2.20 mm/s, ISO: ZONE_B_SATISFACTORY); Speed: 2948 RPM; Prod: 0.0 units; Voltage: 422.8 V",Isolation Forest Anomaly Score: 67.6/100 | Assigned Severity: HIGH | Status: IDLE_UNLOADED,"Compressor unloader valve failed to seat, or machine left idling during non-productive period, wasting electrical energy with zero pneumatic delivery.",Verify unloader valve solenoid and differential pressure switch. Activate edge gateway auto-standby command during idle meal breaks.
2026-01-06 03:45:00,COMPRESSOR_01,Screw Air Compressor,65,HIGH,HIGH,"Power: 29.2 kW (Baseline: 38.0 kW, -23%); Temp: 72.0°C (Baseline: 75.0°C, -3.0°C); Vib: 2.29 mm/s (Baseline: 2.20 mm/s, ISO: ZONE_A_GOOD); Speed: 2944 RPM; Prod: 0.0 units; Voltage: 421.9 V",Isolation Forest Anomaly Score: 75.4/100 | Assigned Severity: HIGH | Status: IDLE_UNLOADED,"Compressor unloader valve failed to seat, or machine left idling during non-productive period, wasting electrical energy with zero pneumatic delivery.",Verify unloader valve solenoid and differential pressure switch. Activate edge gateway auto-standby command during idle meal breaks.
2026-01-06 04:00:00,COMPRESSOR_01,Screw Air Compressor,65,HIGH,HIGH,"Power: 28.3 kW (Baseline: 38.0 kW, -26%); Temp: 72.3°C (Baseline: 75.0°C, -2.7°C); Vib: 2.28 mm/s (Baseline: 2.20 mm/s, ISO: ZONE_A_GOOD); Speed: 2946 RPM; Prod: 0.0 units; Voltage: 420.9 V",Isolation Forest Anomaly Score: 74.2/100 | Assigned Severity: HIGH | Status: IDLE_UNLOADED,"Compressor unloader valve failed to seat, or machine left idling during non-productive period, wasting electrical energy with zero pneumatic delivery.",Verify unloader valve solenoid and differential pressure switch. Activate edge gateway auto-standby command during idle meal breaks.
2026-01-06 21:45:00,COMPRESSOR_01,Screw Air Compressor,65,HIGH,HIGH,"Power: 32.2 kW (Baseline: 38.0 kW, -15%); Temp: 115.0°C (Baseline: 75.0°C, +40.0°C); Vib: 2.37 mm/s (Baseline: 2.20 mm/s, ISO: ZONE_B_SATISFACTORY); Speed: 2945 RPM; Prod: 199.6 units; Voltage: 411.4 V",Isolation Forest Anomaly Score: 40.8/100 | Assigned Severity: HIGH | Status: RUNNING_OPTIMAL,"Thermal buildup due to choked condenser fins, blower airflow restriction, or high ambient humidity heat load.",Clean condenser coil matrix with low-pressure wash. Inspect air filter differential pressure manometer.
2026-01-08 09:00:00,PUMP_01,Dyeing Liquor Circulation Pump,45,HIGH,CRITICAL,"Power: 20.1 kW (Baseline: 18.0 kW, +12%); Temp: 54.1°C (Baseline: 52.0°C, +2.1°C); Vib: 3.92 mm/s (Baseline: 1.40 mm/s, ISO: ZONE_B_SATISFACTORY); Speed: 1450 RPM; Prod: 12.4 units; Voltage: 421.8 V",Isolation Forest Anomaly Score: 85.5/100 | Assigned Severity: CRITICAL | Status: RUNNING_OPTIMAL,Subtle multivariate parameter divergence from expected operational baseline. Energy intensity elevated relative to throughput.,Perform general visual inspection of drive train and review electrical load profile during next maintenance window.
2026-01-08 09:15:00,PUMP_01,Dyeing Liquor Circulation Pump,45,HIGH,CRITICAL,"Power: 23.0 kW (Baseline: 18.0 kW, +28%); Temp: 55.7°C (Baseline: 52.0°C, +3.7°C); Vib: 3.88 mm/s (Baseline: 1.40 mm/s, ISO: ZONE_B_SATISFACTORY); Speed: 1444 RPM; Prod: 13.8 units; Voltage: 420.8 V",Isolation Forest Anomaly Score: 94.5/100 | Assigned Severity: CRITICAL | Status: RUNNING_OPTIMAL,Dyeing liquor circulation pump suction strainer clogged or impeller cavitation occurring. Motor working against blocked passage with steep throughput drop.,Backflush dyeing loop filter basket and verify suction head pressure. Check for air ingress in pump casing.
2026-01-08 09:30:00,PUMP_01,Dyeing Liquor Circulation Pump,45,HIGH,CRITICAL,"Power: 22.7 kW (Baseline: 18.0 kW, +26%); Temp: 54.7°C (Baseline: 52.0°C, +2.7°C); Vib: 3.85 mm/s (Baseline: 1.40 mm/s, ISO: ZONE_B_SATISFACTORY); Speed: 1445 RPM; Prod: 13.7 units; Voltage: 422.1 V",Isolation Forest Anomaly Score: 92.3/100 | Assigned Severity: CRITICAL | Status: RUNNING_OPTIMAL,Dyeing liquor circulation pump suction strainer clogged or impeller cavitation occurring. Motor working against blocked passage with steep throughput drop.,Backflush dyeing loop filter basket and verify suction head pressure. Check for air ingress in pump casing.
2026-01-08 09:45:00,PUMP_01,Dyeing Liquor Circulation Pump,45,HIGH,CRITICAL,"Power: 21.2 kW (Baseline: 18.0 kW, +18%); Temp: 54.1°C (Baseline: 52.0°C, +2.1°C); Vib: 3.69 mm/s (Baseline: 1.40 mm/s, ISO: ZONE_B_SATISFACTORY); Speed: 1447 RPM; Prod: 13.0 units; Voltage: 421.1 V",Isolation Forest Anomaly Score: 87.4/100 | Assigned Severity: CRITICAL | Status: RUNNING_OPTIMAL,Subtle multivariate parameter divergence from expected operational baseline. Energy intensity elevated relative to throughput.,Perform general visual inspection of drive train and review electrical load profile during next maintenance window.
2026-01-08 10:00:00,PUMP_01,Dyeing Liquor Circulation Pump,65,HIGH,HIGH,"Power: 19.3 kW (Baseline: 18.0 kW, +7%); Temp: 55.3°C (Baseline: 52.0°C, +3.3°C); Vib: 3.71 mm/s (Baseline: 1.40 mm/s, ISO: ZONE_B_SATISFACTORY); Speed: 1445 RPM; Prod: 13.2 units; Voltage: 420.7 V",Isolation Forest Anomaly Score: 84.2/100 | Assigned Severity: HIGH | Status: RUNNING_OPTIMAL,Subtle multivariate parameter divergence from expected operational baseline. Energy intensity elevated relative to throughput.,Perform general visual inspection of drive train and review electrical load profile during next maintenance window.
2026-01-08 10:15:00,PUMP_01,Dyeing Liquor Circulation Pump,45,HIGH,CRITICAL,"Power: 20.9 kW (Baseline: 18.0 kW, +16%); Temp: 54.0°C (Baseline: 52.0°C, +2.0°C); Vib: 3.73 mm/s (Baseline: 1.40 mm/s, ISO: ZONE_B_SATISFACTORY); Speed: 1444 RPM; Prod: 13.3 units; Voltage: 416.5 V",Isolation Forest Anomaly Score: 89.2/100 | Assigned Severity: CRITICAL | Status: RUNNING_OPTIMAL,Subtle multivariate parameter divergence from expected operational baseline. Energy intensity elevated relative to throughput.,Perform general visual inspection of drive train and review electrical load profile during next maintenance window.
2026-01-08 10:30:00,PUMP_01,Dyeing Liquor Circulation Pump,45,HIGH,CRITICAL,"Power: 21.5 kW (Baseline: 18.0 kW, +19%); Temp: 54.7°C (Baseline: 52.0°C, +2.7°C); Vib: 3.67 mm/s (Baseline: 1.40 mm/s, ISO: ZONE_B_SATISFACTORY); Speed: 1443 RPM; Prod: 13.5 units; Voltage: 419.0 V",Isolation Forest Anomaly Score: 90.5/100 | Assigned Severity: CRITICAL | Status: RUNNING_OPTIMAL,Subtle multivariate parameter divergence from expected operational baseline. Energy intensity elevated relative to throughput.,Perform general visual inspection of drive train and review electrical load profile during next maintenance window.
2026-01-08 10:45:00,PUMP_01,Dyeing Liquor Circulation Pump,45,HIGH,CRITICAL,"Power: 19.7 kW (Baseline: 18.0 kW, +9%); Temp: 56.0°C (Baseline: 52.0°C, +4.0°C); Vib: 3.79 mm/s (Baseline: 1.40 mm/s, ISO: ZONE_B_SATISFACTORY); Speed: 1454 RPM; Prod: 13.1 units; Voltage: 412.6 V",Isolation Forest Anomaly Score: 85.7/100 | Assigned Severity: CRITICAL | Status: RUNNING_OPTIMAL,Subtle multivariate parameter divergence from expected operational baseline. Energy intensity elevated relative to throughput.,Perform general visual inspection of drive train and review electrical load profile during next maintenance window.
2026-01-08 11:00:00,PUMP_01,Dyeing Liquor Circulation Pump,45,HIGH,CRITICAL,"Power: 22.3 kW (Baseline: 18.0 kW, +24%); Temp: 55.5°C (Baseline: 52.0°C, +3.5°C); Vib: 3.70 mm/s (Baseline: 1.40 mm/s, ISO: ZONE_B_SATISFACTORY); Speed: 1446 RPM; Prod: 12.5 units; Voltage: 417.7 V",Isolation Forest Anomaly Score: 92.2/100 | Assigned Severity: CRITICAL | Status: RUNNING_OPTIMAL,Dyeing liquor circulation pump suction strainer clogged or impeller cavitation occurring. Motor working against blocked passage with steep throughput drop.,Backflush dyeing loop filter basket and verify suction head pressure. Check for air ingress in pump casing.
2026-01-08 11:15:00,PUMP_01,Dyeing Liquor Circulation Pump,45,HIGH,CRITICAL,"Power: 21.1 kW (Baseline: 18.0 kW, +17%); Temp: 56.0°C (Baseline: 52.0°C, +4.0°C); Vib: 3.75 mm/s (Baseline: 1.40 mm/s, ISO: ZONE_B_SATISFACTORY); Speed: 1443 RPM; Prod: 13.6 units; Voltage: 414.8 V",Isolation Forest Anomaly Score: 92.7/100 | Assigned Severity: CRITICAL | Status: RUNNING_OPTIMAL,Subtle multivariate parameter divergence from expected operational baseline. Energy intensity elevated relative to throughput.,Perform general visual inspection of drive train and review electrical load profile during next maintenance window.
2026-01-08 11:30:00,PUMP_01,Dyeing Liquor Circulation Pump,45,HIGH,CRITICAL,"Power: 22.6 kW (Baseline: 18.0 kW, +26%); Temp: 57.8°C (Baseline: 52.0°C, +5.8°C); Vib: 3.67 mm/s (Baseline: 1.40 mm/s, ISO: ZONE_B_SATISFACTORY); Speed: 1452 RPM; Prod: 13.8 units; Voltage: 415.9 V",Isolation Forest Anomaly Score: 92.7/100 | Assigned Severity: CRITICAL | Status: RUNNING_OPTIMAL,Dyeing liquor circulation pump suction strainer clogged or impeller cavitation occurring. Motor working against blocked passage with steep throughput drop.,Backflush dyeing loop filter basket and verify suction head pressure. Check for air ingress in pump casing.
2026-01-08 11:45:00,PUMP_01,Dyeing Liquor Circulation Pump,65,HIGH,HIGH,"Power: 18.7 kW (Baseline: 18.0 kW, +4%); Temp: 54.8°C (Baseline: 52.0°C, +2.8°C); Vib: 3.84 mm/s (Baseline: 1.40 mm/s, ISO: ZONE_B_SATISFACTORY); Speed: 1449 RPM; Prod: 11.8 units; Voltage: 411.4 V",Isolation Forest Anomaly Score: 79.1/100 | Assigned Severity: HIGH | Status: RUNNING_OPTIMAL,Subtle multivariate parameter divergence from expected operational baseline. Energy intensity elevated relative to throughput.,Perform general visual inspection of drive train and review electrical load profile during next maintenance window.
2026-01-08 12:00:00,PUMP_01,Dyeing Liquor Circulation Pump,45,HIGH,CRITICAL,"Power: 22.4 kW (Baseline: 18.0 kW, +25%); Temp: 57.6°C (Baseline: 52.0°C, +5.6°C); Vib: 3.70 mm/s (Baseline: 1.40 mm/s, ISO: ZONE_B_SATISFACTORY); Speed: 1441 RPM; Prod: 13.6 units; Voltage: 413.0 V",Isolation Forest Anomaly Score: 99.3/100 | Assigned Severity: CRITICAL | Status: RUNNING_OPTIMAL,Dyeing liquor circulation pump suction strainer clogged or impeller cavitation occurring. Motor working against blocked passage with steep throughput drop.,Backflush dyeing loop filter basket and verify suction head pressure. Check for air ingress in pump casing.
2026-01-08 12:15:00,PUMP_01,Dyeing Liquor Circulation Pump,65,HIGH,HIGH,"Power: 18.0 kW (Baseline: 18.0 kW, -0%); Temp: 55.2°C (Baseline: 52.0°C, +3.2°C); Vib: 3.81 mm/s (Baseline: 1.40 mm/s, ISO: ZONE_B_SATISFACTORY); Speed: 1450 RPM; Prod: 11.8 units; Voltage: 417.1 V",Isolation Forest Anomaly Score: 75.8/100 | Assigned Severity: HIGH | Status: RUNNING_OPTIMAL,Subtle multivariate parameter divergence from expected operational baseline. Energy intensity elevated relative to throughput.,Perform general visual inspection of drive train and review electrical load profile during next maintenance window.
2026-01-08 12:30:00,PUMP_01,Dyeing Liquor Circulation Pump,45,HIGH,CRITICAL,"Power: 22.8 kW (Baseline: 18.0 kW, +27%); Temp: 57.4°C (Baseline: 52.0°C, +5.4°C); Vib: 3.81 mm/s (Baseline: 1.40 mm/s, ISO: ZONE_B_SATISFACTORY); Speed: 1453 RPM; Prod: 13.5 units; Voltage: 413.4 V",Isolation Forest Anomaly Score: 95.1/100 | Assigned Severity: CRITICAL | Status: RUNNING_OPTIMAL,Dyeing liquor circulation pump suction strainer clogged or impeller cavitation occurring. Motor working against blocked passage with steep throughput drop.,Backflush dyeing loop filter basket and verify suction head pressure. Check for air ingress in pump casing.
2026-01-08 12:45:00,PUMP_01,Dyeing Liquor Circulation Pump,45,HIGH,CRITICAL,"Power: 20.2 kW (Baseline: 18.0 kW, +12%); Temp: 57.6°C (Baseline: 52.0°C, +5.6°C); Vib: 3.58 mm/s (Baseline: 1.40 mm/s, ISO: ZONE_B_SATISFACTORY); Speed: 1443 RPM; Prod: 13.4 units; Voltage: 416.0 V",Isolation Forest Anomaly Score: 89.9/100 | Assigned Severity: CRITICAL | Status: RUNNING_OPTIMAL,Subtle multivariate parameter divergence from expected operational baseline. Energy intensity elevated relative to throughput.,Perform general visual inspection of drive train and review electrical load profile during next maintenance window.
