Hour,Machine_ID,Production,Power_kW,Tariff_Rs,Energy_kWh,Cost_Rs,Health_Score,Severity,Availability,Operational_Status,Effective_Capacity,Batch_ID,Batch_Start,Batch_Active,Batch_Duration
3,HVAC_01,3119.09,33.71,5.5,33.71,185.43,100,NORMAL,1.0,RUNNING_OPTIMAL,5800.0,,0,0,0
4,HVAC_01,3327.03,34.96,5.5,34.96,192.29,100,NORMAL,1.0,RUNNING_OPTIMAL,5800.0,,0,0,0
5,HVAC_01,3638.94,36.83,5.5,36.83,202.59,100,NORMAL,1.0,RUNNING_OPTIMAL,5800.0,,0,0,0
6,HVAC_01,4678.64,43.07,7.5,43.07,323.04,100,NORMAL,1.0,RUNNING_OPTIMAL,5800.0,,0,0,0
7,HVAC_01,4990.55,44.94,7.5,44.94,337.07,100,NORMAL,1.0,RUNNING_OPTIMAL,5800.0,,0,0,0
8,HVAC_01,5198.49,46.19,7.5,46.19,346.43,100,NORMAL,1.0,RUNNING_OPTIMAL,5800.0,,0,0,0
9,HVAC_01,5198.49,46.19,7.5,46.19,346.43,100,NORMAL,1.0,RUNNING_OPTIMAL,5800.0,,0,0,0
10,HVAC_01,4990.55,44.94,7.5,44.94,337.07,100,NORMAL,1.0,RUNNING_OPTIMAL,5800.0,,0,0,0
11,HVAC_01,4678.64,43.07,7.5,43.07,323.04,100,NORMAL,1.0,RUNNING_OPTIMAL,5800.0,,0,0,0
12,HVAC_01,3950.85,38.71,7.5,38.71,290.29,100,NORMAL,1.0,RUNNING_OPTIMAL,5800.0,,0,0,0
13,HVAC_01,4366.73,41.2,7.5,41.2,309.0,100,NORMAL,1.0,RUNNING_OPTIMAL,5800.0,,0,0,0
14,HVAC_01,4990.55,44.94,7.5,44.94,337.07,100,NORMAL,1.0,RUNNING_OPTIMAL,5800.0,,0,0,0
15,HVAC_01,5198.49,46.19,7.5,46.19,346.43,100,NORMAL,1.0,RUNNING_OPTIMAL,5800.0,,0,0,0
16,HVAC_01,5406.43,47.44,7.5,47.44,355.79,100,NORMAL,1.0,RUNNING_OPTIMAL,5800.0,,0,0,0
17,HVAC_01,5614.37,48.69,7.5,48.69,365.15,100,NORMAL,1.0,RUNNING_OPTIMAL,5800.0,,0,0,0
18,HVAC_01,6030.25,51.18,10.0,51.18,511.81,100,NORMAL,1.0,RUNNING_OPTIMAL,5800.0,,0,0,0
19,HVAC_01,6238.19,52.43,10.0,52.43,524.29,100,NORMAL,1.0,RUNNING_OPTIMAL,5800.0,,0,0,0
20,HVAC_01,6030.25,51.18,10.0,51.18,511.81,100,NORMAL,1.0,RUNNING_OPTIMAL,5800.0,,0,0,0
21,HVAC_01,5718.34,49.31,10.0,49.31,493.1,100,NORMAL,1.0,RUNNING_OPTIMAL,5800.0,,0,0,0
22,HVAC_01,3638.94,36.83,5.5,36.83,202.59,100,NORMAL,1.0,RUNNING_OPTIMAL,5800.0,,0,0,0
23,HVAC_01,3638.94,36.83,5.5,36.83,202.59,100,NORMAL,1.0,RUNNING_OPTIMAL,5800.0,,0,0,0
0,PUMP_01,138.89,19.08,5.5,19.08,104.96,100,NORMAL,1.0,RUNNING_OPTIMAL,180.0,BASE_BATCH_01,1,1,3
1,PUMP_01,138.89,19.08,5.5,19.08,104.96,100,NORMAL,1.0,RUNNING_OPTIMAL,180.0,BASE_BATCH_01,0,1,3
2,PUMP_01,138.89,19.08,5.5,19.08,104.96,100,NORMAL,1.0,RUNNING_OPTIMAL,180.0,BASE_BATCH_01,0,1,3
3,PUMP_01,138.89,19.08,5.5,19.08,104.96,100,NORMAL,1.0,RUNNING_OPTIMAL,180.0,BASE_BATCH_02,1,1,3
4,PUMP_01,138.89,19.08,5.5,19.08,104.96,100,NORMAL,1.0,RUNNING_OPTIMAL,180.0,BASE_BATCH_02,0,1,3
5,PUMP_01,138.89,19.08,5.5,19.08,104.96,100,NORMAL,1.0,RUNNING_OPTIMAL,180.0,BASE_BATCH_02,0,1,3
6,PUMP_01,138.89,19.08,7.5,19.08,143.12,100,NORMAL,1.0,RUNNING_OPTIMAL,180.0,BASE_BATCH_03,1,1,3
7,PUMP_01,138.89,19.08,7.5,19.08,143.12,100,NORMAL,1.0,RUNNING_OPTIMAL,180.0,BASE_BATCH_03,0,1,3
8,PUMP_01,138.89,19.08,7.5,19.08,143.12,100,NORMAL,1.0,RUNNING_OPTIMAL,180.0,BASE_BATCH_03,0,1,3
9,PUMP_01,138.89,19.08,7.5,19.08,143.12,100,NORMAL,1.0,RUNNING_OPTIMAL,180.0,BASE_BATCH_04,1,1,3
10,PUMP_01,138.89,19.08,7.5,19.08,143.12,100,NORMAL,1.0,RUNNING_OPTIMAL,180.0,BASE_BATCH_04,0,1,3
11,PUMP_01,138.89,19.08,7.5,19.08,143.12,100,NORMAL,1.0,RUNNING_OPTIMAL,180.0,BASE_BATCH_04,0,1,3
12,PUMP_01,138.89,19.08,7.5,19.08,143.12,100,NORMAL,1.0,RUNNING_OPTIMAL,180.0,BASE_BATCH_05,1,1,3
13,PUMP_01,138.89,19.08,7.5,19.08,143.12,100,NORMAL,1.0,RUNNING_OPTIMAL,180.0,BASE_BATCH_05,0,1,3
14,PUMP_01,138.89,19.08,7.5,19.08,143.12,100,NORMAL,1.0,RUNNING_OPTIMAL,180.0,BASE_BATCH_05,0,1,3
15,PUMP_01,138.89,19.08,7.5,19.08,143.12,100,NORMAL,1.0,RUNNING_OPTIMAL,180.0,BASE_BATCH_06,1,1,3
16,PUMP_01,138.89,19.08,7.5,19.08,143.12,100,NORMAL,1.0,RUNNING_OPTIMAL,180.0,BASE_BATCH_06,0,1,3
17,PUMP_01,138.89,19.08,7.5,19.08,143.12,100,NORMAL,1.0,RUNNING_OPTIMAL,180.0,BASE_BATCH_06,0,1,3
18,PUMP_01,0.0,0.0,10.0,0.0,0.0,100,NORMAL,1.0,RUNNING_OPTIMAL,180.0,,0,0,0
19,PUMP_01,0.0,0.0,10.0,0.0,0.0,100,NORMAL,1.0,RUNNING_OPTIMAL,180.0,,0,0,0
20,PUMP_01,0.0,0.0,10.0,0.0,0.0,100,NORMAL,1.0,RUNNING_OPTIMAL,180.0,,0,0,0
21,PUMP_01,0.0,0.0,10.0,0.0,0.0,100,NORMAL,1.0,RUNNING_OPTIMAL,180.0,,0,0,0
22,PUMP_01,0.0,0.0,5.5,0.0,0.0,100,NORMAL,1.0,RUNNING_OPTIMAL,180.0,,0,0,0
23,PUMP_01,0.0,0.0,5.5,0.0,0.0,100,NORMAL,1.0,RUNNING_OPTIMAL,180.0,,0,0,0
